job_id,skills
233.0,python
233.0,r
233.0,mongodb
233.0,devops
233.0,spark
233.0,java
233.0,aws
233.0,mysql
233.0,redshift
233.0,postgres
233.0,machine_learning
233.0,scala
233.0,airflow
239.0,cloud
239.0,aws
239.0,docker
239.0,nosql
239.0,apache
239.0,golang
239.0,azure
240.0,r
240.0,scala
240.0,alteryx
240.0,cloud
240.0,gcp
240.0,java
240.0,css
240.0,javascript
240.0,aws
240.0,html
240.0,agile
240.0,python
240.0,hadoop
240.0,rshiny
240.0,sql
240.0,apache
240.0,machine_learning
240.0,spark
247.0,backend
247.0,aws
247.0,machine_learning
247.0,sql
247.0,docker
250.0,
252.0,mssql
252.0,excel
252.0,macros
252.0,sql
253.0,data_lake
253.0,github
253.0,scala
253.0,git
253.0,java
253.0,shell
253.0,aws
253.0,agile
253.0,python
253.0,redshift
253.0,etl
253.0,machine_learning
253.0,linux
253.0,jira
253.0,sql
253.0,apache
253.0,bi
253.0,azure
253.0,spark
257.0,
260.0,
261.0,r
261.0,scala
261.0,saas
261.0,aws
261.0,pyspark
261.0,ai
261.0,spark
266.0,cloud
266.0,aws
266.0,azure
268.0,database
268.0,cloud
268.0,aws
268.0,mysql
268.0,redshift
268.0,sql
268.0,nosql
268.0,postgres
273.0,data_lake
273.0,ibm
273.0,etl
273.0,sql
278.0,cloud
278.0,java
278.0,aws
278.0,python
278.0,hadoop
278.0,snowflake
278.0,sql
278.0,azure
278.0,spark
280.0,airflow
280.0,cloud
280.0,gcp
280.0,json
280.0,data_lake
280.0,aws
280.0,python
280.0,redshift
280.0,tableau
280.0,bigquery
280.0,looker
280.0,xml
280.0,snowflake
280.0,sql
280.0,nosql
280.0,powerbi
280.0,azure
280.0,c
280.0,spark
281.0,python
281.0,machine_learning
283.0,database
283.0,scrum
283.0,cloud
283.0,agile
283.0,python
283.0,sql
285.0,data_lake
285.0,database
285.0,python
285.0,hadoop
285.0,ibm
285.0,oracle
285.0,microsoft
285.0,sql
287.0,data_lake
287.0,ibm
287.0,etl
287.0,sql
291.0,redis
291.0,nosql
291.0,mongodb
291.0,spark
292.0,cloud
292.0,aws
292.0,azure
297.0,python
297.0,git
297.0,c
297.0,github
297.0,sql
297.0,ai
297.0,machine_learning
297.0,unix
301.0,python
301.0,git
301.0,jupyter
301.0,ai
301.0,tableau
301.0,machine_learning
301.0,sql
301.0,postgres
303.0,cloud
303.0,aws
303.0,azure
307.0,
319.0,r
319.0,sas
319.0,aws
319.0,python
319.0,tableau
319.0,sql
319.0,azure
322.0,cloud
322.0,aws
322.0,azure
324.0,cloud
324.0,aws
324.0,azure
326.0,cloud
326.0,python
326.0,r
326.0,looker
326.0,spark
326.0,aws
326.0,tableau
326.0,machine_learning
326.0,sql
328.0,database
328.0,cloud
328.0,python
328.0,php
328.0,warehousing
328.0,golang
328.0,mysql
328.0,bash
330.0,cloud
330.0,aws
330.0,azure
331.0,data_lake
331.0,database
331.0,cloud
331.0,python
331.0,hadoop
331.0,git
331.0,slack
331.0,spark
331.0,aws
331.0,redshift
331.0,etl
331.0,sql
331.0,machine_learning
331.0,airflow
331.0,aurora
337.0,powerbi
337.0,r
337.0,microsoft
337.0,golang
337.0,azure
342.0,sql
345.0,agile
345.0,python
345.0,hadoop
345.0,spark
345.0,java
345.0,aws
345.0,machine_learning
345.0,ai
345.0,sql
345.0,scala
345.0,postgres
346.0,cloud
346.0,aws
346.0,azure
352.0,database
352.0,pl/sql
352.0,cloud
352.0,javascript
352.0,python
352.0,json
352.0,slack
352.0,mssql
352.0,mysql
352.0,snowflake
352.0,sql
358.0,powershell
358.0,warehousing
358.0,cloud
358.0,aws
358.0,pyspark
358.0,redshift
358.0,python
358.0,etl
358.0,bigquery
358.0,snowflake
358.0,sql
358.0,server
358.0,azure
359.0,word
359.0,powerpoint
359.0,warehousing
359.0,microsoft
359.0,sql
359.0,excel
362.0,r
362.0,database
362.0,microsoft
362.0,python
362.0,sql
362.0,machine_learning
364.0,cloud
364.0,devops
364.0,aws
364.0,snowflake
364.0,azure
369.0,
371.0,cloud
371.0,gcp
371.0,mysql
371.0,python
371.0,etl
371.0,sql
371.0,nosql
371.0,ai
371.0,spark
372.0,excel
372.0,microsoft
